City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,gualeguaychu,-33.0094,-58.5172,54.9,89,2,9.57,AR,1667554340
314,amazar,53.858,120.875,16.5,93,39,4.52,RU,1667554341
315,miles city,46.4083,-105.8406,22.17,86,20,11.5,US,1667554342
316,saint-augustin,51.226,-58.6502,32.81,78,49,3.74,CA,1667554343
317,hobyo,5.3505,48.5268,83.28,61,34,9.82,SO,1667554344
318,tura,25.5198,90.2201,74.88,83,14,3.42,IN,1667554345
319,khani,41.9563,42.9566,42.37,82,95,4.03,GE,1667554346
320,zhaoyang,42.682,126.0305,27.73,47,1,6.13,CN,1667554346
321,gladstone,-23.85,151.25,71.78,70,6,16.24,AU,1667554349
322,ankang,32.68,109.0172,54.75,85,100,3.44,CN,1667554349
323,minab,27.1467,57.0801,87.53,44,29,14.41,IR,1667554350
324,fairbanks,64.8378,-147.7164,12.16,87,100,0.0,US,1667554232
325,chumikan,54.7183,135.315,24.37,69,91,19.6,RU,1667554352
326,klaksvik,62.2266,-6.589,45.52,90,99,30.74,FO,1667554353
327,ponta do sol,32.6667,-17.1,73.13,77,17,1.36,PT,1667554353
328,male,4.1748,73.5089,89.55,66,40,11.5,MV,1667554354
329,chapleau,47.8405,-83.4034,56.35,73,100,15.77,CA,1667554355
330,shelburne,44.0787,-80.2041,55.85,89,58,12.57,CA,1667554295
331,hvide sande,56.0045,8.1294,51.85,87,75,11.5,DK,1667554356
332,khasan,42.4308,130.6434,38.68,31,0,14.03,RU,1667554357
333,khorinsk,52.1657,109.7726,27.88,68,100,6.04,RU,1667554358
334,port hardy,50.6996,-127.4199,39.38,100,100,17.27,CA,1667554359
335,mount isa,-20.7333,139.5,79.32,14,0,13.42,AU,1667554360
336,fortuna,40.5982,-124.1573,50.34,66,100,6.91,US,1667554360
337,iberia,29.9502,-91.7507,71.6,94,100,8.05,US,1667554362
338,kirakira,-10.4544,161.9205,79.39,81,15,3.71,SB,1667554363
339,biu,10.6129,12.1946,84.51,18,41,11.32,NG,1667554363
340,atikokan,48.7555,-91.6216,34.81,85,100,8.95,CA,1667554364
341,dayong,25.0209,118.2898,68.32,71,78,4.5,CN,1667554365
342,rabat,33.9911,-6.8401,68.16,88,20,4.61,MA,1667554362
343,kanniyakumari,8.0833,77.5667,81.07,75,70,3.11,IN,1667554367
344,coquimbo,-29.9533,-71.3436,53.33,87,100,3.44,CL,1667554367
345,yenagoa,4.9247,6.2642,86.88,66,86,2.26,NG,1667554368
346,kaitangata,-46.2817,169.8464,48.94,69,67,15.12,NZ,1667554369
347,pemba,-12.974,40.5178,81.25,67,1,16.08,MZ,1667554370
348,samana,19.2056,-69.3369,74.32,90,24,2.24,DO,1667554371
349,esso,55.9333,158.7,30.38,97,100,4.29,RU,1667554371
350,ponta delgada,37.7333,-25.6667,70.5,100,75,6.91,PT,1667554274
351,dunedin,-45.8742,170.5036,52.81,71,59,11.99,NZ,1667554374
352,nassjo,57.6531,14.6968,47.32,80,100,12.95,SE,1667554374
353,iquique,-20.2208,-70.1431,60.84,75,1,4.29,CL,1667554376
354,durango,24.8333,-104.8333,49.69,49,0,6.51,MX,1667554105
355,chulym,55.0997,80.9572,36.43,60,70,7.43,RU,1667554377
356,poronaysk,49.2167,143.1167,33.13,69,81,15.48,RU,1667554378
357,luanda,-8.8368,13.2343,82.4,69,75,5.75,AO,1667554379
358,colac,-38.3333,143.5833,52.18,78,68,5.1,AU,1667554380
359,totness,5.8833,-56.3167,73.69,94,99,6.29,SR,1667554381
360,pithoragarh,29.5833,80.2167,66.42,56,10,4.29,IN,1667554380
361,vila velha,-20.3297,-40.2925,64.94,82,98,8.01,BR,1667554258
362,nongstoin,25.5167,91.2667,65.25,81,35,4.07,IN,1667554383
363,nago,26.5881,127.9761,73.83,69,98,14.83,JP,1667554384
364,ravar,31.2656,56.8055,69.94,30,26,3.87,IR,1667554385
365,garachine,8.0647,-78.3628,76.96,88,100,7.49,PA,1667554386
366,xuanzhou,30.9525,118.7553,58.93,61,98,2.77,CN,1667554386
367,touros,-5.1989,-35.4608,81.05,73,51,11.43,BR,1667554387
